nichei,fiti,nichef,fitf,mu1,mu2,k1,w,h2,theta,sigma,ext.time,f.ext
47,0.929901132416498,-1.40506161818791,0.999178941793192,-0.430105947487207,-0.3015274,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
48,0.981994696007202,-0.70106387112521,0.999774144896399,-0.42944669724754,-0.3015274,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
49,0.999999840095998,-0.539020166574117,0.999999836028949,-0.429321074169174,-0.3015274,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
50,0.981994696007202,-0.500461336094924,0.999753748606316,-0.429833522154397,-0.3015274,0,0.2,1,0.4,1.507637,1,8,0.001
51,0.929901132416498,-0.539020166574117,0.999051056406289,-0.430894087554119,-0.3015274,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
52,0.84914691109614,-0.70106387112521,0.998019967642315,-0.432238260474487,-0.3015274,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
53,0.747734320087369,-1.40506161818791,0.996845319661493,-0.433561396980416,-0.3015274,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
54,0.634936389751631,3.46194650387446,0.998533121701719,-0.431164370692251,-0.3015274,1.2061096,0.2,1,0.4,1.507637,1,10,0.001
55,0.51991403924883,0.634800270107275,0.998221134060742,-0.431384540168609,-0.3015274,1.507637,0.2,1,0.4,1.507637,1,10,0.001
56,0.634936389751631,0.544099339052255,0.998738510783097,-0.430501421642865,0,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
57,0.747734320087369,2.96729994187627,0.999038967151245,-0.430194493347686,0,-1.2061096,0.2,1,0.4,1.507637,1,10,0.001
58,0.84914691109614,-1.2043049346128,0.998182738717414,-0.431175381887063,0,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
59,0.929901132416498,-0.600895126979358,0.999102750508281,-0.430079773330328,0,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
60,0.981994696007202,-0.46200439757099,0.999760108380781,-0.429261451238022,0,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
61,0.999999840095998,-0.42895489339417,0.999999840095998,-0.42895489339417,0,0,0.2,1,0.4,1.507637,1,8,0.001
62,0.981994696007202,-0.46200439757099,0.999760108380781,-0.429261451238022,0,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
63,0.929901132416498,-0.600895126979359,0.999102750508281,-0.430079773330328,0,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
64,0.84914691109614,-1.2043049346128,0.998182738717414,-0.431175381887063,0,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
65,0.747734320087369,2.96729994187627,0.999038967151245,-0.430194493347686,0,1.2061096,0.2,1,0.4,1.507637,1,10,0.001
66,0.634936389751631,0.544099339052255,0.998738510783097,-0.430501421642865,0,1.507637,0.2,1,0.4,1.507637,1,10,0.001
